scenario,mode,penetration_rate,avg_travel_time,avg_wait_time,throughput,fairness_index,co2_kg,fuel_l,max_queue_length,completed_vehicles,simulated_seconds
surge,trained,0.2,164.81329923273657,34.0537084398977,1354.112554112554,0.2942793470616971,274.7188414239975,119.54444165705186,4,782,2079.0
rush_hour,trained,0.2,236.92447867743755,40.05711065188803,2566.331860184813,0.13845475483458855,2492.7394487108368,1084.7227521155658,22,5323,7467.0
uniform,trained,0.2,160.9691738594328,33.56843403205919,1461.9929894842264,0.2897692600690365,280.19938785967196,121.92926870880255,2,811,1997.0
