scenario,mode,penetration_rate,avg_travel_time,avg_wait_time,throughput,fairness_index,co2_kg,fuel_l,max_queue_length,completed_vehicles,simulated_seconds
surge,trained,0.05,159.2468030690537,32.13299232736573,1384.0707964601772,0.28857208314693045,267.56956277119764,116.43328160752078,3,782,2034.0
rush_hour,trained,0.05,235.3956415555138,38.23219988728161,2573.224117094132,0.1223564760978921,2469.611165309794,1074.6579331324106,22,5323,7447.0
uniform,trained,0.05,158.98643649815043,31.98150431565968,1452.5373134328358,0.27644684249039414,276.35962881421716,120.25831551186593,4,811,2010.0
