scenario,mode,avg_travel_time,avg_wait_time,throughput,fairness_index,co2_kg,fuel_l,max_queue_length,completed_vehicles,simulated_seconds
surge,baseline,178.25063938618925,41.89386189258312,1350.8637236084453,0.30607159265626255,279.29892330659936,121.5377524012153,6,782,2084.0
rush_hour,baseline,191.11365771181664,43.396017283486756,2584.6776369031563,0.36416663213107536,2023.9355721569584,880.7215365769058,10,5323,7414.0
uniform,baseline,177.47965474722565,41.801479654747226,1432.5809617271834,0.2986744642637607,288.14253266684807,125.38608218606966,3,811,2038.0
