scenario,mode,penetration_rate,avg_travel_time,avg_wait_time,throughput,fairness_index,co2_kg,fuel_l,max_queue_length,completed_vehicles,simulated_seconds
surge,trained,0.1,163.44117647058823,33.549872122762146,1390.2222222222222,0.2834197675166161,272.58548978834847,118.61604381103339,11,782,2025.0
rush_hour,trained,0.1,237.31842945707308,38.859477738117604,2548.5835882431174,0.13214764114783406,2488.587097606679,1082.915579107116,22,5323,7519.0
uniform,trained,0.1,158.9901356350185,32.01726263871763,1438.2266009852217,0.27626997763524824,276.5430170792303,120.33812805885003,3,811,2030.0
