scenario,mode,penetration_rate,avg_travel_time,avg_wait_time,throughput,fairness_index,co2_kg,fuel_l,max_queue_length,completed_vehicles,simulated_seconds
surge,trained,0.05,159.2468030690537,32.13299232736573,1384.0707964601772,0.28857208314693045,267.56956277119764,116.43328160752078,3,782,2034.0
rush_hour,trained,0.05,235.3956415555138,38.23219988728161,2573.224117094132,0.1223564760978921,2469.611165309794,1074.6579331324106,22,5323,7447.0
uniform,trained,0.05,158.98643649815043,31.98150431565968,1452.5373134328358,0.27644684249039414,276.35962881421716,120.25831551186593,4,811,2010.0
surge,trained,0.1,163.44117647058823,33.549872122762146,1390.2222222222222,0.2834197675166161,272.58548978834847,118.61604381103339,11,782,2025.0
rush_hour,trained,0.1,237.31842945707308,38.859477738117604,2548.5835882431174,0.13214764114783406,2488.587097606679,1082.915579107116,22,5323,7519.0
uniform,trained,0.1,158.9901356350185,32.01726263871763,1438.2266009852217,0.27626997763524824,276.5430170792303,120.33812805885003,3,811,2030.0
surge,trained,0.2,164.81329923273657,34.0537084398977,1354.112554112554,0.2942793470616971,274.7188414239975,119.54444165705186,4,782,2079.0
rush_hour,trained,0.2,236.92447867743755,40.05711065188803,2566.331860184813,0.13845475483458855,2492.7394487108368,1084.7227521155658,22,5323,7467.0
uniform,trained,0.2,160.9691738594328,33.56843403205919,1461.9929894842264,0.2897692600690365,280.19938785967196,121.92926870880255,2,811,1997.0
